,name,address,zip_code,distance,lat,lon
0,Toronto Pearson International Airport (YYZ),6301 Silver Dart Dr,L5P 1B2,18102,43.67772,-79.62482
1,Billy Bishop Toronto City Airport (YTZ),1 Island Airport,M5V 1A1,2583,43.6318,-79.39729
