,name,address,zip_code,distance,lat,lon
0,Starbucks,475 Sherbrooke Rue O,H3A 2L9,357,45.506759,-73.572434
1,Starbucks,1446 Saint Laurent Blvd,H2X 1J5,349,45.510371,-73.565236
2,Starbucks,1500 McGill College Ave,H3A 3J5,723,45.502273,-73.572339
3,Starbucks,1001 Robert Bourassa Blvd,H3B 4L4,854,45.501072,-73.564359
4,Starbucks,1 Ville Marie Pl,H3B 3Y1,653,45.501736,-73.568012
5,Starbucks,3601 St-Laurent Blvd,H2X 2V5,731,45.514084,-73.57262
6,Starbucks,977 Sainte-Catherine Rue O,H3B 4W3,842,45.501086,-73.572059
7,Café Starbucks Eaton Center,705 Sainte-Catherine Rue O,H3B 4G5,614,45.50288,-73.570422
